Survey,ResponseId,Department,Survey Question,Response
Pre,R_1p9XDZ4eRs7K2A6,Emergency Department (ED),Q2_5,2
Pre,R_3D2FH6y3t5eWWXb,Other,Q2_1,2
Pre,R_3D2FH6y3t5eWWXb,Other,Q2_2,2
Pre,R_3D2FH6y3t5eWWXb,Other,Q2_3,2
Pre,R_3D2FH6y3t5eWWXb,Other,Q2_4,2
Pre,R_3D2FH6y3t5eWWXb,Other,Q2_5,2
Pre,R_7nZUAtiWwNMm9Me,Other,Q2_1,2
Pre,R_7nZUAtiWwNMm9Me,Other,Q2_2,2
Pre,R_7nZUAtiWwNMm9Me,Other,Q2_3,1
Pre,R_7nZUAtiWwNMm9Me,Other,Q2_4,1
Pre,R_7nZUAtiWwNMm9Me,Other,Q2_5,1
Pre,R_3pPY4w11PDljPQl,Other,Q2_1,2
Pre,R_3pPY4w11PDljPQl,Other,Q2_2,2
Pre,R_3pPY4w11PDljPQl,Other,Q2_3,2
Pre,R_3pPY4w11PDljPQl,Other,Q2_4,2
Pre,R_3pPY4w11PDljPQl,Other,Q2_5,2
Pre,R_60xtKkCCZcJ3Ujw,Emergency Department (ED),Q2_1,3
Pre,R_60xtKkCCZcJ3Ujw,Emergency Department (ED),Q2_2,3
Pre,R_60xtKkCCZcJ3Ujw,Emergency Department (ED),Q2_3,3
Pre,R_60xtKkCCZcJ3Ujw,Emergency Department (ED),Q2_4,4
